Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43344,"5,996",334,47,9,"5,570.40",783.9,150.1
43345,742,70,20,N/A,"9,434.00","2,695.40",N/A
43347,"1,501",106,27,N/A,"7,062.00","1,798.80",N/A
43348,"1,736",125,12,N/A,"7,200.50",691.2,N/A
43351,"10,013","1,028",64,14,"10,266.70",639.2,139.8
43356,"1,388",69,N/A,N/A,"4,971.20",N/A,N/A
43357,"3,921",382,80,23,"9,742.40","2,040.30",586.6
43358,"2,588",185,28,8,"7,148.40","1,081.90",309.1
43359,818,55,N/A,N/A,"6,723.70",N/A,N/A
43360,"1,600",95,12,6,"5,937.50",750,375
43402,"32,259","2,913",315,72,"9,030.00",976.50,223.2
43403,"5,501",247,32,9,"4,490.10",581.7,163.6
43406,"1,920",104,10,N/A,"5,416.70",520.8,N/A
43407,729,43,N/A,N/A,"5,898.50",N/A,N/A
43408,270,28,N/A,N/A,"10,370.40",N/A,N/A
43410,"10,030",863,71,16,"8,604.20",707.9,159.5
43412,"4,373",341,40,18,"7,797.90",914.70,411.6
43413,"1,522",127,14,N/A,"8,344.30",919.80,N/A
43416,"2,989",226,20,N/A,"7,561.10",669.1,N/A
43420,"30,133","2,525",268,73,"8,379.50",889.4,242.3
43430,"4,504",360,38,9,"7,992.90",843.7,199.8
43431,"4,868",437,29,N/A,"8,977.00",595.7,N/A
43432,"1,278",97,6,N/A,"7,590.00",469.5,N/A
43433,85,N/A,N/A,N/A,N/A,N/A,N/A
43434,61,N/A,N/A,N/A,N/A,N/A,N/A
43435,"1,345",85,8,N/A,"6,319.70",594.8,N/A
43437,578,26,N/A,N/A,"4,498.30",N/A,N/A
43438,202,16,N/A,N/A,"7,920.80",N/A,N/A
43439,53,N/A,N/A,N/A,N/A,N/A,N/A
43440,"4,738",331,24,5,"6,986.10",506.5,105.5
43442,"1,170",63,8,N/A,"5,384.60",683.8,N/A
43443,"1,920",168,21,N/A,"8,750.00","1,093.80",N/A
43445,"1,239",93,8,N/A,"7,506.10",645.7,N/A
43446,88,N/A,N/A,N/A,N/A,N/A,N/A
43447,"3,645",285,33,8,"7,818.90",905.30,219.5
43449,"8,219",543,49,13,"6,606.60",596.2,158.2
43450,"3,636",263,28,5,"7,233.20",770.1,137.5
43451,"1,251",98,N/A,N/A,"7,833.70",N/A,N/A
43452,"13,674","1,012",120,19,"7,400.90",877.6,138.9
43456,291,61,N/A,N/A,"20,962.20",N/A,N/A
43457,"1,536",119,16,5,"7,747.40","1,041.70",325.5
43458,521,10,N/A,N/A,"1,919.40",N/A,N/A
43460,"6,498",607,59,10,"9,341.30",908,153.9
43462,"1,191",71,13,5,"5,961.40","1,091.50",419.8
43463,39,N/A,N/A,N/A,N/A,N/A,N/A
43464,"1,377",106,14,N/A,"7,697.90","1,016.70",N/A
43465,"5,273",429,38,16,"8,135.80",720.7,303.4
43466,"2,059",129,7,N/A,"6,265.20",340,N/A
43467,85,N/A,N/A,N/A,N/A,N/A,N/A
43468,401,121,5,N/A,"30,174.60","1,246.90",N/A
43469,"2,948",242,28,9,"8,209.00",949.80,305.3
43501,870,42,N/A,N/A,"4,827.60",N/A,N/A
43502,"6,609",645,64,30,"9,759.40",968.40,453.9
43504,"1,261",99,7,N/A,"7,850.90",555.1,N/A
43505,52,N/A,N/A,N/A,N/A,N/A,N/A
43506,"14,192","1,221",88,20,"8,603.40",620.10,140.9
43511,"1,075",49,6,N/A,"4,558.10",558.1,N/A
43512,"27,951","2,721",306,80,"9,734.90","1,094.80",286.2
43515,"8,582",605,82,22,"7,049.60",955.50,256.4
43516,"2,742",222,13,N/A,"8,096.30",474.1,N/A
43517,"4,134",342,32,12,"8,272.90",774.1,290.3
43518,"2,524",172,21,5,"6,814.60",832,198.1
43519,333,21,N/A,N/A,"6,306.30",N/A,N/A
43521,"2,742",196,26,13,"7,148.10",948.2,474.1
43522,"3,291",199,20,6,"6,046.80",607.7,182.3
43523,20,N/A,N/A,N/A,N/A,N/A,N/A
43524,"1,302",102,8,N/A,"7,834.10",614.4,N/A
43525,"1,096",117,11,6,"10,675.20","1,003.60",547.4
43526,"5,890",507,49,13,"8,607.80",831.9,220.7
43527,"1,986",255,24,6,"12,839.90","1,208.50",302.1
43528,"15,919","1,464",171,53,"9,196.60","1,074.20",332.9
43529,328,14,N/A,N/A,"4,268.30",N/A,N/A
43531,308,7,N/A,N/A,"2,272.70",N/A,N/A
43532,"3,972",283,43,18,"7,124.90","1,082.60",453.2
43533,"1,702",110,5,N/A,"6,463.00",293.8,N/A
43534,"1,739",102,7,N/A,"5,865.40",402.5,N/A
43535,719,66,N/A,N/A,"9,179.40",N/A,N/A
43536,161,18,N/A,N/A,"11,180.10",N/A,N/A
43537,"27,097","2,626",316,84,"9,691.10","1,166.20",310
43540,"1,358",126,15,N/A,"9,278.40","1,104.60",N/A
43541,140,17,N/A,N/A,"12,142.90",N/A,N/A
43542,"3,687",391,47,13,"10,604.80","1,274.70",352.6
43543,"7,785",547,47,13,"7,026.30",603.7,167
43545,"14,182","1,231",149,39,"8,680.00","1,050.60",275
43547,179,27,N/A,N/A,"15,083.80",N/A,N/A
43548,587,68,12,N/A,"11,584.30","2,044.30",N/A
43549,"1,310",101,10,N/A,"7,709.90",763.4,N/A
43551,"38,839","3,789",367,93,"9,755.70",944.90,239.5
43553,139,21,N/A,N/A,"15,107.90",N/A,N/A
43554,"2,371",181,15,N/A,"7,633.90",632.60,N/A
43555,313,24,N/A,N/A,"7,667.70",N/A,N/A
43556,"1,765",144,8,N/A,"8,158.60",453.3,N/A
43557,"3,324",285,30,5,"8,574.00",902.50,150.4
43558,"12,662","1,088",163,47,"8,592.60","1,287.30",371.2
43560,"32,275","2,949",370,94,"9,137.10","1,146.40",291.2
43565,502,33,5,N/A,"6,573.70",996,N/A
43566,"7,926",823,83,24,"10,383.50","1,047.20",302.8
43567,"13,247","1,243",98,37,"9,383.30",739.8,279.3
43569,"2,896",161,24,5,"5,559.40",828.7,172.7
43570,"3,195",230,21,8,"7,198.70",657.3,250.4
43571,"7,526",646,80,19,"8,583.60","1,063.00",252.5
43604,"8,920",584,56,15,"6,547.10",627.8,168.2
43605,"26,096","1,380",160,44,"5,288.20",613.1,168.6
43606,"25,219","1,724",201,53,"6,836.10",797,210.2
43607,"21,117","1,462",173,46,"6,923.30",819.2,217.8
43608,"14,570",946,107,32,"6,492.80",734.4,219.6
43609,"21,936","1,242",139,47,"5,661.90",633.7,214.3
43610,"4,343",251,27,N/A,"5,779.40",621.7,N/A
43611,"18,579","1,430",178,42,"7,696.90",958.10,226.1
43612,"29,686","2,032",265,67,"6,845.00",892.7,225.7
43613,"32,653","2,639",322,87,"8,082.00",986.10,266.4
43614,"31,607","2,547",253,60,"8,058.30",800.5,189.8
43615,"39,786","2,986",330,104,"7,505.20",829.4,261.4
43616,"20,380","2,109",256,70,"10,348.40","1,256.10",343.5
43617,"7,268",647,77,27,"8,902.00","1,059.40",371.5
43619,"7,296",694,110,20,"9,512.10","1,507.70",274.1
43620,"5,863",314,31,7,"5,355.60",528.7,119.4
43623,"19,936","1,610",220,56,"8,075.80","1,103.50",280.9
43701,"55,595","5,142",837,267,"9,249.00","1,505.50",480.3
43711,116,8,N/A,N/A,"6,896.60",N/A,N/A
43713,"7,066",569,81,17,"8,052.60","1,146.30",240.6
43716,"1,874",139,18,6,"7,417.30",960.50,320.2
43717,143,14,N/A,N/A,"9,790.20",N/A,N/A
43718,"2,926",204,33,12,"6,972.00","1,127.80",410.1
43719,"2,689",163,39,10,"6,061.70","1,450.40",371.9
43720,"1,331",99,20,5,"7,438.00","1,502.60",375.7
43721,81,N/A,N/A,N/A,N/A,N/A,N/A
43722,306,27,N/A,N/A,"8,823.50",N/A,N/A
43723,"5,185",341,38,8,"6,576.70",732.9,154.3
43724,"9,319",861,54,15,"9,239.20",579.5,161
43725,"19,592","1,506",219,42,"7,686.80","1,117.80",214.4
43727,"1,163",117,8,N/A,"10,060.20",687.9,N/A
43728,"1,602",71,15,N/A,"4,432.00",936.30,N/A
43730,"2,287",144,22,8,"6,296.50",962,349.8
43731,"5,379",424,63,30,"7,882.50","1,171.20",557.7
43732,"1,448",111,16,N/A,"7,665.70","1,105.00",N/A
43734,"1,738",114,18,5,"6,559.30","1,035.70",287.7
43735,438,33,7,N/A,"7,534.20","1,598.20",N/A
43736,35,N/A,N/A,N/A,N/A,N/A,N/A
43738,103,N/A,N/A,N/A,N/A,N/A,N/A
43739,"2,179",153,28,10,"7,021.60","1,285.00",458.9
43740,277,16,N/A,N/A,"5,776.20",N/A,N/A
43746,"1,215",95,18,5,"7,818.90","1,481.50",411.5
43747,879,72,17,N/A,"8,191.10","1,934.00",N/A
43748,"2,752",194,42,13,"7,049.40","1,526.20",472.4
43749,"2,376",142,29,6,"5,976.40","1,220.50",252.5
43750,115,9,N/A,N/A,"7,826.10",N/A,N/A
43754,"1,618",89,7,N/A,"5,500.60",432.6,N/A
43755,"1,983",103,18,6,"5,194.20",907.7,302.6
43756,"4,834",384,61,16,"7,943.70","1,261.90",331
43758,"3,060",218,34,N/A,"7,124.20","1,111.10",N/A
43759,57,N/A,N/A,N/A,N/A,N/A,N/A
43760,"2,138",124,23,7,"5,799.80","1,075.80",327.4
43761,49,N/A,N/A,N/A,N/A,N/A,N/A
43762,"5,997",431,40,14,"7,186.90",667,233.5
43764,"8,750",688,98,37,"7,862.90","1,120.00",422.9
43766,"1,543",82,11,5,"5,314.30",712.9,324
